ID,Topic,Selected Content
1,Facility,"New, comfortable apartments"
1,Location,"close to the airport, to very clean beach."
1,Staff,Staff is extremely helpful and easy to communicate with
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday"
1,Off,"on the first floor, to escape the heat in the midday, Nothing at all."
3,Location,the location is great and near the airport. bus stop is very close.
4,Staff,Great stuff
4,Price,Great Quality/price
4,Room,Clean
5,Room,Clean and modern with very comfortable beds
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.
6,Room,The room was exceptionally clean with a really comfortable bed
6,Off,We only stayed over night before heading to the airport.
7,Off,great
8,Location,nice location
8,Staff,lovely personal
8,Off,"renovated, nothing"
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way
9,Off,"couldn't eat breakfast due to dietary restrictions-but, so no need for 21 euro taxi), maybe possibility of purchasing fresh fruit or veg"
10,Room,Great modern room comfortable bed
10,Location,quiet location
11,Staff,"The staff here are amazing beyond expectations..*****
  Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
  Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great"
11,Food,Oh yeah the food is great to and very reasonable prices ..
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros
11,Off,"My second time here and true to say it was better than the first which was excellent. I don't think I need to mention where I'll be staying next time I'm in Larnaka.
  Brilliant guys, it's like a real caring family set up ..., which is always so nice."
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.
12,Food,The breakfast was lovely with room service too.
12,Room,Very clean and comfortable.
12,Off,Couldn’t stay longer
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste."
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants."
13,Staff,"The staff are so welcoming, we felt like staying with family."
13,Off,"We stayed 1 week and enjoyed it very much, We would definitely stay again on our next visit to Larnaca, Thank you so much for the great time we had with you."
14,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.
14,Staff,The receptionist didn't speak English properly
14,Room,You can hear the airplanes coming and leaving from the airport all the time
14,Off,"and you have a feeling that people are living in the hotel, rather than staying at a hotel, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one."
15,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach."
15,Staff,The staff make it
15,Location,it is a bit on the edge of Larnaca - with frequent busses to the centre.
15,Off,"Second visit. - particularly reception and the dining room, Nothing really, though for a stay for more than a few days -"
16,Room,"I liked the rooms- they are spacious, clean, the window view is nice too."
16,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!"
17,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.
