ID,Selected Content,Sub_Question,Raw_Stage1_Output,Sub_Question_Cleaned
1,"New, comfortable apartments",How does the guest perceive the overall impression of the new apartments? How do they feel about the comfort level and amenities available?,"{""sub_question"": ""How does the guest perceive the overall impression of the new apartments? How do they feel about the comfort level and amenities available?""}",How does the guest perceive the overall impression of the new apartments?
1,"close to the airport, to very clean beach.",What does the guest describe regarding their experience near the airport and the cleanliness of the beach?,"The guest's feedback is crucial for determining their experience. To assess this review accurately, I need to know:

- How the guest felt about their proximity to the airport (e.g., how convenient it was).
- The guest's perception of the beach cleanliness and overall satisfaction.

This allows me to evaluate both aspects comprehensively in relation to sentiment.

{""sub_question"": ""What does the guest describe regarding their experience near the airport and the cleanliness of the beach?""}",What does the guest describe regarding their experience near the airport and the cleanliness of the beach?
1,Staff is extremely helpful and easy to communicate with,What specific details does the guest describe about the staff's helplessness and ease of communication?,"```json
{
  ""sub_question"": ""What specific details does the guest describe about the staff's helplessness and ease of communication?""
}
```",What specific details does the guest describe about the staff's helplessness and ease of communication?
1,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday","{'1': 'How did the guests perceive the quality of the food on the first floor?', '2': 'How did the guests describe the overall comfort level of the restaurant?'}","```json
{
  ""sub_question"": {
    ""1"": ""How did the guests perceive the quality of the food on the first floor?"",
    ""2"": ""How did the guests describe the overall comfort level of the restaurant?""
  }
}
```",How did the guests perceive the quality of the food on the first floor?
3,the location is great and near the airport. bus stop is very close.,"[{'key': '离机场近', 'value': '酒店离机场非常近'}, {'key': '公交站靠近', 'value': '公交站也非常好近'}]","```json
{
  ""sub_question"": [
    {
      ""key"": ""离机场近"",
      ""value"": ""酒店离机场非常近""
    },
    {
      ""key"": ""公交站靠近"",
      ""value"": ""公交站也非常好近""
    }
  ]
}
```",How does the guest evaluate their experience in this hotel review?
4,Great stuff,Whether the review reflects a positive experience.,"{""sub_question"": ""Whether the review reflects a positive experience.""}",Whether the review reflects a positive experience.
4,Great Quality/price,"How does the guest evaluate the quality of facilities (e.g., rooms, services) and the pricing of the hotel compared to others.","{""sub_question"": ""How does the guest evaluate the quality of facilities (e.g., rooms, services) and the pricing of the hotel compared to others.""}","How does the guest evaluate the quality of facilities (e.g., rooms, services) and the pricing of the hotel compared to others."
4,Clean,How did the guest feel about their own experience in the washroom?,"[
    {
        ""sub_question"": ""How did the guest feel about their own experience in the washroom?""
    }
]",How did the guest feel about their own experience in the washroom?
5,Clean and modern with very comfortable beds,"How does the guest evaluate the cleanliness, modernness, and comfort levels of the hotel rooms and beds?","```json
{
  ""sub_question"": ""How does the guest evaluate the cleanliness, modernness, and comfort levels of the hotel rooms and beds?""
}
```","How does the guest evaluate the cleanliness, modernness, and comfort levels of the hotel rooms and beds?"
5,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,"How does the location meet the guest's needs, including being easy to get to multiple nice restaurants and a great beach?","```json
{
  ""sub_question"": ""How does the location meet the guest's needs, including being easy to get to multiple nice restaurants and a great beach?""
}
```","How does the location meet the guest's needs, including being easy to get to multiple nice restaurants and a great beach?"
