ID,Selected Content,Answer
1,"New, comfortable apartments",Facility
1,"close to the airport, to very clean beach.",Location
1,Staff is extremely helpful and easy to communicate with,Staff
1,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Food
3,the location is great and near the airport. bus stop is very close.,Location
4,Great stuff,Staff
4,Great Quality/price,Price
4,Clean,Room
5,Clean and modern with very comfortable beds,Room
5,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Location
6,The room was exceptionally clean with a really comfortable bed,Room
8,nice location,Location
8,lovely personal,Staff
9,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way,Staff
10,Great modern room comfortable bed,Room
10,quiet location,Location
11,"The staff here are amazing beyond expectations..*****
  Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
  Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Staff
11,Oh yeah the food is great to and very reasonable prices ..,Food
11,The rooms are spacious and clean great to stay .. I even got an upgrade,Room
11,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Location
12,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Staff
12,The breakfast was lovely with room service too.,Food
12,Very clean and comfortable.,Room
13,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Room
13,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Location
13,"The staff are so welcoming, we felt like staying with family.",Staff
14,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Location
14,The receptionist didn't speak English properly,Staff
14,You can hear the airplanes coming and leaving from the airport all the time,Room
15,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Location
15,The staff make it,Staff
15,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Location
16,"I liked the rooms- they are spacious, clean, the window view is nice too.",Room
16,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Food
17,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Staff
17,Our room had a balcony with great view of the sea and surrounding area.,Room
19,Close to airport,Location
20,clean,Room
20,friendly stuff,Staff
22,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",Room
22,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Room
22,"Ordered pizza one night and was not great, too stodgy",Food
22,The restaurant area is nice,Food
22,the staff very accomodating.,Staff
23,the beds were very comfortable,Room
24,I loved the mattress!!!,Room
25,Clean and quiet,Room
26,The hotel is 5 minutes from the beach and the location is also near the lake.,Location
26,"The rooms are a good size and are laid out very well with a good size bathroom
  The room also has a great sized balcony to take a tea/coffee and 
  chill",Room
26,There is a great restaurant inside where the food is good and not to pricey.,Food
26,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Staff
27,"so comfortable, clean",Room
27,friendly staff,Staff
27,perfect for overnight stay before flying from Larnaca Airport.,Location
28,Staff is very polite and caring.,Staff
28,Surrounding buildings are under construction and poorly lit.,Location
30,Staff were lovely. Service was great.,Staff
30,The room was spotless.,Room
30,Great location for restaurants. Great location for a short drive to the airport.,Location
31,"Clean, comfortable,",Room
31,friendly staff.,Staff
31,Great restaurant beneath the hotel - food excellent & reasonably priced.,Food
31,Very close to Mackenzy beach & Larnaca airport.,Location
32,The bed was great. Rooms clean.,Room
32,Staff were so kind.,Staff
34,welcoming,Staff
34,value for money,Price
34,more hooks on walls for towels etc.,Room
35,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Room
36,"we were surprised at the location in a small side street,",Location
36,but it was only a 10-minute walk to the sea front.,Location
36,The receptionist on check in was very good and explained the information very clearly to us.,Staff
36,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows,Room
36,"I had no problem as they were very clean, and the bed was really comfortable.",Room
36,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Food
36,We may have missed it but there was no opening and closing times of the bar on display.,Food
38,great rooms - nice and cool,Room
39,It was really clean and spacious,Room
40,"Nice location, not far from Airport and Mackenzie beach.",Location
