ID,Topic,Selected Content,Answer
1,Facility,"New, comfortable apartments",Positive
1,Location,"close to the airport, to very clean beach.",Positive
1,Staff,Staff is extremely helpful and easy to communicate with,Positive
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive
1,Off,"on the first floor, to escape the heat in the midday, Nothing at all.",Off
3,Location,the location is great and near the airport. bus stop is very close.,Positive
4,Staff,Great stuff,Positive
4,Price,Great Quality/price,Positive
4,Room,Clean,Positive
5,Room,Clean and modern with very comfortable beds,Positive
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive
6,Room,The room was exceptionally clean with a really comfortable bed,Positive
6,Off,We only stayed over night before heading to the airport.,Positive
7,Off,great,Positive
8,Location,nice location,Positive
8,Staff,lovely personal,Positive
8,Off,"renovated, nothing",Positive
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way,Positive
9,Off,"couldn't eat breakfast due to dietary restrictions-but, so no need for 21 euro taxi), maybe possibility of purchasing fresh fruit or veg",Off
10,Room,Great modern room comfortable bed,Positive
10,Location,quiet location,Positive
11,Staff,"The staff here are amazing beyond expectations..*****
  Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
  Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive
11,Off,"My second time here and true to say it was better than the first which was excellent. I don't think I need to mention where I'll be staying next time I'm in Larnaka.
  Brilliant guys, it's like a real caring family set up ..., which is always so nice.",Positive
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive
12,Food,The breakfast was lovely with room service too.,Positive
12,Room,Very clean and comfortable.,Positive
12,Off,Couldn’t stay longer,Off
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive
13,Off,"We stayed 1 week and enjoyed it very much, We would definitely stay again on our next visit to Larnaca, Thank you so much for the great time we had with you.",Positive
14,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive
14,Staff,The receptionist didn't speak English properly,Negative
14,Room,You can hear the airplanes coming and leaving from the airport all the time,Negative
14,Off,"and you have a feeling that people are living in the hotel, rather than staying at a hotel, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Off
15,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive
15,Staff,The staff make it,Positive
15,Location,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Negative
15,Off,"Second visit. - particularly reception and the dining room, Nothing really, though for a stay for more than a few days -",Off
16,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive
16,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive
17,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive
17,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive
19,Location,Close to airport,Positive
20,Off,location,Off
20,Room,clean,Positive
20,Staff,friendly stuff,Positive
22,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",Positive
22,Room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Negative
22,Food,"Ordered pizza one night and was not great, too stodgy",Negative
22,Food,The restaurant area is nice,Positive
22,Staff,the staff very accomodating.,Positive
22,Off,"so it was cold. had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower, but I'm sure other food is better.",Negative
23,Room,the beds were very comfortable,Positive
24,Room,I loved the mattress!!!,Positive
25,Room,Clean and quiet,Positive
26,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive
26,Room,"The rooms are a good size and are laid out very well with a good size bathroom
  The room also has a great sized balcony to take a tea/coffee and 
  chill",Positive
26,Food,There is a great restaurant inside where the food is good and not to pricey.,Positive
26,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive
