ID,Selected Content,Sub_Question_1,Sub_Question_2,Raw_Stage1_Output
1,"New, comfortable apartments",Is the content about new and comfortable apartments?,"Based on that information, does it suggest a positive or negative sentiment?","To answer the question “What is the sentiment of this Selected Content?”, we need to know: 

[SUB_Q]Is the content about new and comfortable apartments?[/SUB_Q]

[SUB_Q]Based on that information, does it suggest a positive or negative sentiment?[/SUB_Q]"
1,"close to the airport, to very clean beach.",Is the hotel located near the airport?,Does the hotels beach have a very clean surface?,"[SUB_Q]Is the hotel located near the airport?[/SUB_Q]  
[SUB_Q]Does the hotel's beach have a very clean surface?[/SUB_Q]"
1,Staff is extremely helpful and easy to communicate with,Did the staff demonstrate extremely helpfulness and ease of communication?,Is the staffs behavior contributing to a positive sentiment within the hotel review?,"[SUB_Q]Did the staff demonstrate extremely helpfulness and ease of communication?[/SUB_Q]  
[SUB_Q]Is the staff's behavior contributing to a positive sentiment within the hotel review?[/SUB_Q]"
1,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Did the restaurant feature a first-floor area?,Is the first floor available for guests?,"[SUB_Q]Did the restaurant feature a first-floor area?[/SUB_Q]  
[SUB_Q]Is the first floor available for guests?[/SUB_Q]"
3,the location is great and near the airport. bus stop is very close.,Is the hotel located near an airport?,Does the location provide a convenient experience for the guest?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know: 
[SUB_Q]Is the hotel located near an airport?[/SUB_Q]
[SUB_Q]Does the location provide a convenient experience for the guest?[/SUB_Q]

Example 3:
Q: Content: ""The breakfast prepared by Richard was delicious and freshly prepared."" What is the sentiment of this Selected Content between Positive or Negative?
Decomposition: To answer the question “What is the sentiment of this Selected Content?”, we need to know:
[SUB_Q]Was the breakfast freshly prepared?[/SUB_Q]
[SUB_Q]Did the guest find the taste delicious?[/SUB_Q]

Example 4:
Q: Content: ""the building is completely refurbished, it is confortable"" What is the sentiment of this Selected Content between Positive or Negative?
Decomposition: To answer the question “What is the sentiment of this Selected Content?”, we need to know:
[SUB_Q]Is the building completely refurbished?[/SUB_Q]
[SUB_Q]Does the guest find the stay comfortable?[/SUB_Q]

Example 5:
Q: Content: ""We had a late check in and there was no one in the hotel to give us keys and the door was locked."" What is the sentiment of this Selected Content between Positive or Negative?
Decomposition: To answer the question “What is the sentiment of this Selected Content?”, we need to know:
[SUB_Q]Did the guest face a locked door during late check-in?[/SUB_Q]
[SUB_Q]Was there any staff assistance provided to the guest?[/SUB_Q]

Current Task:
Q: Content: ""the location is great and near the airport. bus stop is very close."" What is the sentiment of this Selected Content between Positive or Negative?
Decomposition:

[SUB_Q]Is the hotel located near an airport?[/SUB_Q]
[SUB_Q]Does the location provide a convenient experience for the guest?[/SUB_Q]"
4,Great stuff,Did the guest have a great experience or services from the hotel?,Was their stay enjoyable and convenient?,"[SUB_Q]Did the guest have a great experience or services from the hotel?[/SUB_Q]  
[SUB_Q]Was their stay enjoyable and convenient?[/SUB_Q]"
4,Great Quality/price,What was the initial incident or situation?,How did this impact the final outcome?,"To answer the question “What is the sentiment of this Selected Content?” we need to know:

1. What was the initial incident or situation?  
2. How did this impact the final outcome?

**[SUB_Q]What was the initial incident or situation?[/SUB_Q]**  
**[SUB_Q]How did this impact the final outcome?[/SUB_Q]**"
4,Clean,Did the guest experience a clean environment during their stay?,Was there any resolution regarding the cleanliness of the room before they left?,"[SUB_Q]Did the guest experience a clean environment during their stay?[/SUB_Q]  
[SUB_Q]Was there any resolution regarding the cleanliness of the room before they left?[/SUB_Q]"
5,Clean and modern with very comfortable beds,Did the guest feel that the room was clean and modern with very comfortable beds?,Was there an explicit positive or negative sentiment conveyed about this room?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know: [SUB_Q]Did the guest feel that the room was clean and modern with very comfortable beds?[/SUB_Q]  
[SUB_Q]Was there an explicit positive or negative sentiment conveyed about this room?[/SUB_Q]"
5,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Fact,Outcome,"[SUB_Q]Fact[/SUB_Q]: Is the hotel located in a very convenient spot?  
[SUB_Q]Outcome[/SUB_Q]: Was it possible to easily stroll to numerous nice restaurants and enjoy a great beach?"
